Voltage,Current,Temperature
4.18514,-0.02554,23.87099
4.18464,-0.04853,23.87099
4.18447,-0.05364,23.87099
4.18430,-0.05619,23.87099
4.18430,-0.05619,23.87099
4.18430,-0.05619,23.87099
4.18430,-0.05619,23.87099
4.18430,-0.05874,23.87099
4.18430,-0.05874,23.87099
4.18430,-0.05874,23.87099
4.17469,-0.51593,23.87099
4.16829,-0.77644,23.87099
4.16610,-0.85051,23.87099
4.16525,-0.87350,23.87099
4.16475,-0.87861,23.87099
4.16441,-0.88116,23.87099
4.16424,-0.88116,23.87099
4.16391,-0.88116,23.87099
4.16374,-0.88116,23.87099
4.16357,-0.88371,23.87099
4.16677,-0.72025,23.87099
4.16896,-0.62320,23.87099
4.16964,-0.60021,23.87099
4.16981,-0.59255,23.97615
4.16964,-0.58999,23.97615
4.16964,-0.58999,23.97615
4.16964,-0.58744,23.97615
4.16947,-0.58999,23.97615
4.16947,-0.58999,23.97615
4.16947,-0.58744,23.87099
4.17537,-0.29883,23.87099
4.18026,-0.09706,23.87099
4.18144,-0.05108,23.87099
4.18211,-0.03576,23.87099
4.18228,-0.03065,23.87099
4.18245,-0.03065,23.87099
4.18245,-0.03065,23.87099
4.18262,-0.02809,23.87099
4.18262,-0.03065,23.87099
4.18278,-0.02809,23.87099
4.18295,-0.02299,23.87099
4.18312,-0.01788,23.87099
4.18312,-0.01788,23.87099
4.18312,-0.01788,23.87099
4.18312,-0.01788,23.87099
4.18329,-0.01532,23.87099
4.18329,-0.01788,23.87099
4.18329,-0.01532,23.87099
4.18329,-0.01532,23.87099
4.18329,-0.01532,23.87099
4.17436,-0.45463,23.87099
4.16829,-0.69727,23.87099
4.16610,-0.77644,23.87099
4.16525,-0.79943,23.87099
4.16475,-0.80709,23.87099
4.16458,-0.80709,23.87099
4.16441,-0.80965,23.87099
4.16424,-0.80965,23.87099
4.16407,-0.80965,23.87099
4.16391,-0.80965,23.87099
4.16374,-0.80454,23.87099
4.16374,-0.80198,23.87099
4.16357,-0.80198,23.87099
4.16357,-0.80198,23.87099
4.16340,-0.80198,23.87099
4.16323,-0.80198,23.87099
4.16323,-0.80198,23.87099
4.16306,-0.80198,23.87099
4.16289,-0.80198,23.87099
4.16289,-0.80198,23.87099
4.16289,-0.79688,23.87099
4.16289,-0.79432,23.87099
4.16273,-0.79177,23.87099
4.16273,-0.79177,23.87099
4.16256,-0.79177,23.87099
4.16256,-0.79177,23.87099
4.16256,-0.79177,23.87099
4.16239,-0.79177,23.87099
4.16222,-0.79177,23.87099
4.16222,-0.79177,23.87099
4.16222,-0.78666,23.87099
4.16222,-0.78411,23.87099
4.16222,-0.78411,23.87099
4.16205,-0.78411,23.87099
4.16205,-0.78411,23.87099
4.16188,-0.78411,23.87099
4.16188,-0.78411,23.87099
4.16171,-0.78411,23.87099
4.16171,-0.78411,23.87099
4.16155,-0.78411,23.87099
4.16171,-0.77900,23.87099
4.16171,-0.77389,23.87099
4.16171,-0.77389,23.87099
4.16155,-0.77389,23.87099
4.16155,-0.77389,23.87099
4.16138,-0.77389,23.87099
4.16138,-0.77389,23.87099
4.16138,-0.77389,23.87099
4.16121,-0.77389,23.87099
4.16121,-0.77389,23.87099
4.16121,-0.76878,23.87099
4.16121,-0.76623,23.87099
4.16121,-0.76623,23.87099
4.16104,-0.76623,23.87099
4.16104,-0.76623,23.87099
4.16104,-0.76623,23.87099
4.16087,-0.76623,23.87099
4.16087,-0.76623,23.87099
4.16087,-0.76623,23.87099
4.16070,-0.76623,23.87099
4.16391,-0.61043,23.87099
4.16593,-0.52103,23.87099
4.16660,-0.49549,23.87099
4.16694,-0.49039,23.87099
4.16694,-0.48783,23.87099
4.16694,-0.48783,23.87099
4.16694,-0.48783,23.87099
4.16694,-0.48528,23.87099
4.16694,-0.48528,23.87099
4.16694,-0.48528,23.87099
4.16407,-0.62320,23.87099
4.16222,-0.70493,23.87099
4.16155,-0.73302,23.87099
4.16121,-0.73813,23.87099
4.16104,-0.74069,23.87099
4.16087,-0.74069,23.87099
4.16087,-0.74324,23.87099
4.16070,-0.74069,23.87099
4.16070,-0.74069,23.87099
4.16053,-0.74069,23.87099
4.16374,-0.58744,23.87099
4.16559,-0.50571,23.87099
4.16627,-0.48017,23.87099
4.16660,-0.47251,23.87099
4.16677,-0.46995,23.87099
4.16677,-0.46995,23.87099
4.16677,-0.46995,23.87099
4.16677,-0.46995,23.87099
4.16677,-0.46740,23.87099
4.16677,-0.46740,23.87099
4.17619,0.19411,23.87099
4.18445,0.40100,23.87099
4.18765,0.46996,23.87099
4.18883,0.49039,23.87099
4.18933,0.49550,23.87099
4.18967,0.49550,23.87099
4.18984,0.49550,23.87099
4.19018,0.49550,23.87099
4.19035,0.49550,23.87099
4.19051,0.49805,23.87099
4.19085,0.50061,23.87099
4.19102,0.50316,23.87099
4.19119,0.50316,23.87099
4.19136,0.50316,23.87099
4.19153,0.50316,23.87099
4.19169,0.50571,23.87099
4.19186,0.50316,23.87099
4.19186,0.50316,23.87099
4.19203,0.50571,23.87099
4.19220,0.50571,23.87099
4.19490,0.63087,23.87099
4.19658,0.69727,23.87099
4.19743,0.71771,23.87099
4.19776,0.72537,23.87099
4.19793,0.72537,23.87099
4.19810,0.72537,23.87099
4.19827,0.72537,23.87099
4.19844,0.72792,23.87099
4.19861,0.72537,23.87099
4.19877,0.72792,23.87099
4.20231,1.46351,23.87099
4.20046,0.95268,23.87099
4.20012,0.80710,23.87099
4.19995,0.76113,23.87099
4.19995,0.74580,23.87099
4.19995,0.73814,23.87099
4.19995,0.73303,23.87099
4.19995,0.72792,23.87099
4.19995,0.72281,23.87099
4.19995,0.71515,23.87099
4.19962,0.69727,23.87099
4.19979,0.70494,23.87099
4.19995,0.70238,23.87099
4.19995,0.69983,23.87099
4.19995,0.69472,23.87099
4.19995,0.68961,23.87099
4.19995,0.68706,23.87099
4.19995,0.68195,23.87099
4.19995,0.67939,23.87099
4.19995,0.67429,23.87099
4.19911,0.63597,23.87099
4.19962,0.65641,23.87099
4.19979,0.66152,23.97615
